Termine,Definizione
"AI (Artificial Intelligence)","Intelligenza artificiale. Tecnologia che permette ai computer di fare cose ""intelligenti"" come scrivere testi, creare immagini o ragionare. Quando diciamo AI, IA o AI technology, parliamo sempre di questo."
"LLM (Large Language Model)","Un tipo specifico di AI addestrato su enormi quantità di testo. Sa ""parlare"" e scrivere. Claude, ChatGPT e Gemini sono tutti LLM."
Modello,"Il motore di un'AI. Come le auto hanno modelli diversi (utilitaria, Ferrari, ambulanza), anche l'AI ha modelli diversi, ognuno pensato per un uso specifico: testo, immagini, video, audio."
Token,"L'unità di misura dell'AI. Ogni parola o pezzo di parola che l'AI legge o scrive è un token. Più token usi, più costa. È il motivo per cui a volte Claude o ChatGPT ti dice ""hai raggiunto il limite""."
"Context Window","Quante informazioni l'AI riesce a considerare contemporaneamente quando ti risponde. Immaginalo come uno zaino: più è grande, più cose ci stanno. Se gli dai troppe info, alcune vengono ignorate. Si misura in token."
"Context Engineering","L'arte di organizzare e dare le informazioni giuste all'AI nel modo giusto, così che le consideri tutte quando ti risponde. Non basta mandare PDF a raffica: serve struttura."
Prompt,"Il messaggio o la richiesta che tu mandi all'AI. Quello che scrivi nella chat."
Output,"Il risultato che l'AI ti restituisce: testo, immagine, video, codice, quello che ti dà indietro dopo il tuo prompt."
"Hallucination (Allucinazione)","Quando l'AI ti spara un'informazione completamente inventata ma te la presenta come vera, con sicurezza. Pericoloso perché a volte non è ovvio che sta mentendo."
"Chat / Conversazione","La conversazione che hai con l'AI. Lo scambio di messaggi avanti e indietro."
"System Prompt","Istruzioni segrete date all'AI dietro le quinte dal suo creatore (es. Anthropic per Claude). Tu non le puoi cambiare. Sono il motivo per cui l'AI si rifiuta di fare certe cose, tipo spiegarti roba illegale."
"Artifacts / Canvas","Documenti condivisi su cui lavori insieme all'AI. Come un Google Docs in cui Claude scrive e tu puoi modificare. Su Claude si chiamano Artifacts, su ChatGPT e Gemini si chiamano Canvas."
"Projects (Custom GPTs / Gems)","Su Claude: cartelle di chat raggruppate per progetto, con contesto e istruzioni che rimangono fissi per ogni nuova chat. Tipo una cartella ""Cliente Antonio"" dove Claude sa già chi è Antonio senza che glielo rispieghi ogni volta."
"Memory (Memoria)","Quello che l'AI si ricorda di te tra una conversazione e l'altra. Claude ha memoria dedicata sia globale che per singolo Project."
"Web Search","La capacità dell'AI di cercare informazioni online in tempo reale. Senza questa, l'AI sa solo quello su cui è stato addestrato e non conosce eventi recenti."
"Knowledge Cutoff","La data oltre la quale l'AI non sa più nulla perché il suo addestramento si è fermato lì. Senza web search, tutto ciò che è successo dopo quella data non esiste per l'AI."
"Prompt Engineering","La skill di scrivere prompt efficaci. Più sei bravo a chiedere, migliore è la risposta. È quasi un mestiere: saper formulare le richieste nel modo giusto."
"Chain of Thought (Catena di Pensiero)","Quando l'AI ti mostra il suo ragionamento passo dopo passo, non solo il risultato finale. Puoi vedere come ha pensato prima di rispondere."
Reasoning,"Il processo con cui l'AI ""pensa"" prima di darti la risposta. I modelli che fanno reasoning danno risposte molto migliori rispetto a quelli che rispondono d'impulso."
"Extended Thinking","Modalità avanzata di reasoning dove l'AI pensa ancora più a lungo e in profondità prima di rispondere. Su Claude si attiva manualmente e migliora parecchio la qualità dell'output."
Temperatura,"Un parametro che controlla quanto l'AI è creativo vs prevedibile. Temperatura alta = risposte più fantasiose e rischiose. Temperatura bassa = risposte più sicure e prevedibili."
"API (Application Programming Interface)","Un sistema che permette di collegare due servizi diversi tra loro. Es: collegare Google Sheets a Gmail per inviare email automatiche. È il ponte che fa parlare software diversi."
"API Key","La chiave segreta e personale che ti serve per collegare un servizio via API. Non va MAI condivisa con nessuno per motivi di sicurezza e finanziari."
"Automazione / Workflow","Una serie di azioni che succedono automaticamente senza che tu faccia nulla. Es: ogni giorno alle 21:00 viene inviata un'email automatica al team."
"Vibe Coding","Scrivere codice usando il linguaggio naturale, cioè le parole. Dici all'AI cosa vuoi e lui scrive il codice per te. Zero competenze di programmazione richieste."
Agent,"Un'AI che non si limita a parlarti ma può eseguire azioni concrete nel mondo reale: inviare email, modificare file, fare ricerche, completare task in autonomia."
Anthropic,"L'azienda che ha creato Claude. Fondata da ex ricercatori di OpenAI. Sono i ""genitori"" di Claude, come OpenAI lo è di ChatGPT."
Claude,"L'AI di Anthropic e il protagonista di questo corso. Un LLM disponibile via app, sito web (claude.ai) e API.
"
"Opus / Sonnet / Haiku","I tre modelli di Claude, dal più potente al più leggero. Opus = massima qualità, Sonnet = bilanciato, Haiku = veloce e cheap. Scegli in base al task."
Fine-tuning,"Prendere un modello AI già esistente e riaddestrarlo su dati specifici per renderlo esperto in un campo. Tipo addestrare un tuttofare a fare il chirurgo."
"Few-shot Prompting","Dare all'AI degli esempi concreti dentro il prompt per fargli capire esattamente cosa vuoi e come lo vuoi. Tipo: ""Ecco 3 esempi, ora fai uguale""."
"Zero-shot Prompting","Chiedere all'AI di fare qualcosa senza dargli nessun esempio. Solo l'istruzione. Funziona per task semplici, meno per roba complessa."
Markdown,"Un linguaggio semplicissimo per formattare testo (grassetto, titoli, elenchi) usato tantissimo nell'AI. Claude lo capisce e lo produce nativamente. Utile per dare contesto strutturato."
"RAG (Retrieval-Augmented Generation)","Tecnica in cui l'AI prima cerca info in un database/documento e poi risponde usando quelle info. Combina ricerca + generazione per risposte più accurate."
Embedding,"Un modo per trasformare testo in numeri che il computer capisce. Serve per far cercare e confrontare testi all'AI in modo intelligente."
Iterazione,"Fare più giri di revisione con l'AI sullo stesso output. Mandi il prompt, vedi il risultato, correggi, rimandi. Ogni giro migliora il risultato."
"Tone of Voice","Lo stile comunicativo di un brand o persona. Dare all'AI il tuo tone of voice significa fargli scrivere come parleresti tu, non come un robot generico."
"Contesto / Context","Tutte le informazioni di background che dai all'AI per fargli capire la situazione. Più contesto rilevante = output migliore. Ma dev'essere organizzato, non buttato a caso."
"Persona (nel prompting)","Dire all'AI di comportarsi come un certo tipo di professionista. Es: ""Sei un copywriter senior con 10 anni di esperienza"". Cambia radicalmente la qualità della risposta."
"Copy / Copywriting","Testo scritto per persuadere, vendere o portare a un'azione. Ads, email, landing page, post social. Il pane quotidiano di chi lavora in marketing."
"CTA (Call to Action)","L'invito all'azione che metti alla fine di un copy. ""Compra ora"", ""Prenota la call"", ""Scarica il PDF"". Il punto in cui chiedi al lettore di fare qualcosa."
"Landing Page / Sales Page","Pagina web creata con un unico obiettivo: convertire il visitatore in cliente (o lead). Tutta la pagina è costruita per portarti a un'azione."
Lead,"Una persona potenzialmente interessata al tuo prodotto/servizio che ti ha lasciato un contatto (email, telefono). Non è ancora cliente, è un ""contatto caldo""."
Funnel,"Il percorso che una persona fa da sconosciuto a cliente. Tipo: vede un ad → clicca → arriva sulla landing page → compra. Ogni step è un pezzo del funnel."
"A/B Test","Testare due versioni diverse della stessa cosa (ad, email, landing page) per vedere quale funziona meglio. Cambi una variabile e confronti i risultati."
Zapier,"Piattaforma no-code per creare automazioni collegando app diverse. Es: ""Quando ricevo un'email con allegato, salvalo su Google Drive e avvisami su Slack"". Si usa spesso con le API di Claude."
"No-Code / Low-Code","Creare software, siti o automazioni senza scrivere codice (o scrivendone pochissimo). Strumenti come Zapier, Lovable, Bubble rientrano in questa categoria."
Scraping,"Estrarre dati automaticamente da siti web. Es: raccogliere tutti i prezzi dei competitor da un sito. Si può fare con l'AI o con tool dedicati."
"Brand Guidelines","Le regole visive e comunicative di un brand: colori, font, tono, logo. Darle all'AI significa fargli produrre output coerenti con la tua identità."
Scalabilità,"La capacità di un processo o business di crescere senza che il carico di lavoro cresca proporzionalmente. L'AI ti aiuta a scalare perché automatizza ciò che prima facevi a mano."
"ROI (Return on Investment)","Quanto guadagni rispetto a quanto hai speso. Se spendi 100€ e ne guadagni 300€, il ROI è del 200%. La metrica fondamentale per capire se qualcosa funziona."
